Date,AAPL,ABBV,AMZN,COST,CVX,GOOGL,HD,JNJ,JPM,KO,LLY,MA,MRK,MSFT,PEP,PFE,PG,UNH,V,XOM
2021-02-08,133.34976196289062,88.23475646972656,166.14700317382812,341.1344909667969,73.25003814697266,103.44439697265625,247.919189453125,142.3260955810547,123.41099548339844,42.94856262207031,194.94602966308594,327.5440368652344,61.09299087524414,232.12974548339844,120.33588409423828,27.126073837280273,113.85977172851562,298.956298828125,199.11163330078125,42.299903869628906
2021-02-09,132.47314453125,87.04552459716797,165.25,340.8785400390625,72.83365631103516,102.99132537841797,245.03309631347656,143.49118041992188,122.91783905029297,42.75929641723633,191.09962463378906,324.05511474609375,61.09299087524414,233.3743438720703,119.65018463134766,27.242929458618164,113.41902160644531,303.8323669433594,198.75552368164062,41.804500579833984
2021-02-10,131.86923217773438,85.93062591552734,164.32899475097656,337.6171875,74.0827865600586,103.54165649414062,246.73294067382812,143.95718383789062,122.98831176757812,42.673255920410156,193.6386260986328,324.8034362792969,60.97087478637695,232.46485900878906,118.02171325683594,27.06375503540039,113.02236938476562,307.3072204589844,198.6785430908203,42.20908737182617
2021-02-11,131.6160125732422,85.68286895751953,163.10650634765625,333.9009094238281,73.68241882324219,103.65431213378906,245.2897491455078,143.3099365234375,122.6448745727539,43.27549362182617,192.7252960205078,333.2197570800781,60.848751068115234,234.0636444091797,115.68185424804688,26.82225227355957,113.11935424804688,307.003173828125,203.05465698242188,41.152217864990234
2021-02-12,131.84976196289062,86.25271606445312,163.885498046875,334.42230224609375,74.10681915283203,103.96597290039062,245.6882781982422,143.7586669921875,124.38851165771484,43.61103820800781,197.20619201660156,331.4023742675781,61.0604248046875,234.54234313964844,114.73904418945312,27.048173904418945,112.49349212646484,302.5511779785156,202.3799285888672,41.713680267333984
2021-02-16,129.72645568847656,86.05449676513672,163.44749450683594,335.607421875,75.62529754638672,104.74358367919922,243.81129455566406,142.45559692382812,127.38265228271484,43.249698638916016,195.7506103515625,331.6064758300781,60.44982147216797,233.3072967529297,115.17618560791016,27.02480125427246,112.75794219970703,299.2144775390625,200.39425659179688,42.96871566772461
2021-02-17,127.43756103515625,87.7805404663086,165.4320068359375,339.4375305175781,77.89092254638672,105.13662719726562,248.70721435546875,142.9647674560547,127.7789306640625,43.12924575805664,196.4165496826172,327.8356018066406,61.50005340576172,234.3244171142578,115.2447280883789,27.180604934692383,113.23395538330078,301.2791442871094,200.0183868408203,43.63753128051758
2021-02-18,126.33695983886719,87.5905990600586,166.4114990234375,338.37567138671875,77.1438217163086,104.50093078613281,250.59295654296875,143.0337677001953,128.21038818359375,43.67986297607422,191.33631896972656,328.9338073730469,61.39421844482422,233.93106079101562,116.02469635009766,26.923524856567383,114.17710876464844,302.7079162597656,201.79193115234375,42.95220184326172
2021-02-19,126.4927749633789,86.72344970703125,162.4949951171875,336.33740234375,77.79346466064453,103.65728759765625,247.573974609375,140.6519012451172,130.3503875732422,43.112037658691406,191.1460418701172,323.79278564453125,60.498661041259766,231.22508239746094,113.57340240478516,26.830047607421875,112.05274200439453,299.1775817871094,197.33871459960938,43.24119186401367
2021-02-22,122.72344207763672,88.41646575927734,159.03700256347656,332.0143127441406,79.89663696289062,101.94275665283203,244.21856689453125,140.5650177001953,131.57443237304688,43.559417724609375,190.91770935058594,331.0719299316406,61.00344467163086,225.0263214111328,113.1277084350586,26.68981170654297,111.5767593383789,301.9980773925781,200.79910278320312,44.83477020263672
2021-02-23,122.58706665039062,87.7640380859375,159.72500610351562,324.3730773925781,80.90357208251953,102.23355102539062,236.5958251953125,139.3232879638672,132.63116455078125,43.48198699951172,192.63015747070312,340.5572204589844,60.685916900634766,223.83648681640625,113.80482482910156,26.417152404785156,112.40533447265625,303.7218017578125,204.4523162841797,45.45402908325195
2021-02-24,122.0903549194336,89.76260375976562,157.97650146484375,322.9984130859375,83.89187622070312,103.40914916992188,230.15953063964844,141.1903076171875,134.9647979736328,43.62824249267578,194.57095336914062,356.9815368652344,60.7103385925293,225.06471252441406,113.21342468261719,26.292503356933594,112.52876281738281,306.21044921875,211.5080108642578,46.81641387939453
2021-02-25,117.84371948242188,88.63945770263672,152.85800170898438,316.5516662597656,83.11233520507812,100.04161071777344,225.98074340820312,141.33792114257812,133.13314819335938,43.16365051269531,193.9049835205078,344.5904235839844,60.751033782958984,219.7295684814453,111.42210388183594,26.3470401763916,111.5767593383789,303.13189697265625,206.03306579589844,46.0402717590332
2021-02-26,118.10670471191406,88.97804260253906,154.64649963378906,313.8023376464844,81.20404052734375,100.3373794555664,228.7164306640625,137.60389709472656,129.60182189941406,42.14845657348633,194.9229278564453,343.8907470703125,59.12276077270508,222.9824981689453,110.72785949707031,26.0899600982666,108.8882827758789,306.21966552734375,204.72218322753906,44.8925666809082
2021-03-01,124.4668960571289,89.53136444091797,157.3070068359375,314.53240966796875,82.86873626708984,102.70697784423828,231.62033081054688,138.35069274902344,132.53431701660156,42.931358337402344,196.42605590820312,352.68603515625,58.92738723754883,227.3580322265625,111.95350646972656,26.245763778686523,109.55819702148438,308.45947265625,208.80908203125,46.56870651245117
2021-03-02,121.86634063720703,89.06890106201172,154.72650146484375,311.3943786621094,83.18541717529297,102.44991302490234,230.4427947998047,138.09014892578125,132.10281372070312,43.103431701660156,194.2093963623047,352.6082458496094,59.310028076171875,224.41221618652344,112.33917999267578,26.10553741455078,109.21440887451172,308.45025634765625,207.98016357421875,46.296241760253906
